NAME,POSITION,TEAM,SALARY
Danny Green, SG,San Antonio Spurs,"$10,000,000.00 "
Terrence Ross, SF,Toronto Raptors,"$10,000,000.00 "
Omer Asik, C,New Orleans Pelicans,"$9,904,494.00 "
Iman Shumpert, SG,Cleveland Cavaliers,"$9,662,922.00 "
Matthew Dellavedova, PG,Milwaukee Bucks,"$9,607,500.00 "
Jerryd Bayless, PG,Philadelphia 76ers,"$9,424,084.00 "
Trevor Booker, PF,Brooklyn Nets,"$9,250,000.00 "
Meyers Leonard, PF,Portland Trail Blazers,"$9,213,483.00 "
Gerald Henderson, SG,Philadelphia 76ers,"$9,000,000.00 "
Maurice Harkless, SF,Portland Trail Blazers,"$8,988,765.00 "
Taj Gibson, PF,Oklahoma City Thunder,"$8,950,000.00 "
Jeff Teague, PG,Indiana Pacers,"$8,800,000.00 "
Tiago Splitter, C,Philadelphia 76ers,"$8,550,000.00 "
Ersan Ilyasova, PF,Oklahoma City Thunder,"$8,400,000.00 "
Dwight Powell, PF,Dallas Mavericks,"$8,375,000.00 "
Avery Bradley, PG,Boston Celtics,"$8,269,663.00 "
E'Twaun Moore, SG,New Orleans Pelicans,"$8,081,363.00 "
Darrell Arthur, PF,Denver Nuggets,"$8,070,175.00 "
Kosta Koufos, C,Sacramento Kings,"$8,046,500.00 "
George Hill, PG,Utah Jazz,"$8,000,000.00 "
Garrett Temple, SG,Sacramento Kings,"$8,000,000.00 "
Sergio Rodriguez, PG,Philadelphia 76ers,"$8,000,000.00 "
Tyler Zeller, C,Boston Celtics,"$8,000,000.00 "
Trevor Ariza, SF,Houston Rockets,"$7,806,971.00 "
Channing Frye, PF,Cleveland Cavaliers,"$7,806,971.00 "
Al-Farouq Aminu, SF,Portland Trail Blazers,"$7,680,965.00 "
Cole Aldrich, C,Minnesota Timberwolves,"$7,643,979.00 "
Corey Brewer, SG,Los Angeles Lakers,"$7,612,172.00 "
Markieff Morris, PF,Washington Wizards,"$7,400,000.00 "
Festus Ezeli, C,Portland Trail Blazers,"$7,400,000.00 "
JJ Redick, SG,LA Clippers,"$7,377,500.00 "
Cory Joseph, PG,Toronto Raptors,"$7,315,000.00 "
D.J. Augustin, PG,Orlando Magic,"$7,250,000.00 "
Boris Diaw, C,Utah Jazz,"$7,000,000.00 "
Rodney Stuckey, PG,Indiana Pacers,"$7,000,000.00 "
Boban Marjanovic, C,Detroit Pistons,"$7,000,000.00 "
Ed Davis, PF,Portland Trail Blazers,"$6,666,667.00 "
Isaiah Thomas, PG,Boston Celtics,"$6,587,132.00 "
